,close,positive,negative,sentiment,change,momentum,decision
2018-12-30,131.61749625,0.5351005174602012,0.4648994825397988,1,0.003991829157148624,0,sell
2018-12-31,131.08999599999999,0.5187014677434424,0.4812985322565578,1,0.004007827720700946,0,sell
2019-01-01,133.3849945,0.5695005871711706,0.4304994128288295,1,0.017507045312595934,1,buy
2019-01-02,135.679993,0.5360326098043731,0.4639673901956263,1,0.01720582220363619,1,buy
2019-01-03,131.740005,0.5189407327387215,0.4810592672612787,1,0.029038828149114067,0,sell
2019-01-04,137.949997,0.4548207448676701,0.5451792551323301,0,0.04713824020273872,1,sell
2019-01-05,138.0,0.4786393534238674,0.5213606465761328,0,0.0003624719179950674,1,sell
2019-01-06,138.0250015,0.5096111048677048,0.4903888951322948,0,0.00018117028985508622,1,sell
2019-01-07,138.050003,0.5667476765703937,0.4332523234296067,1,0.00018113747312657624,1,buy
2019-01-08,142.529999,0.5366643238037119,0.4633356761962883,1,0.03245198046102179,1,buy
2019-01-09,144.229996,0.5090331527741739,0.4909668472258258,0,0.011927292583507252,1,sell
2019-01-10,144.199997,0.4880962915159183,0.5119037084840815,0,0.00020799418173736664,0,sell
2019-01-11,143.800003,0.5000938196718984,0.4999061803281018,0,0.002773883552854668,0,sell
2019-01-12,144.595001,0.5788210798323457,0.4211789201676544,1,0.0055284977984318435,1,buy
2019-01-13,144.9925,0.5385142576756875,0.4614857423243124,1,0.002749050778041839,1,buy
2019-01-14,145.389999,0.5245461521730265,0.4754538478269735,1,0.002741514216252441,1,buy
2019-01-15,148.949997,0.4988374393417115,0.5011625606582885,0,0.02448585201517202,1,sell
2019-01-16,147.53999299999998,0.4934630212827864,0.5065369787172139,0,0.009466290892238252,0,sell
2019-01-17,148.300003,0.5391997746590783,0.4608002253409216,1,0.005151213474708668,1,buy
2019-01-18,150.03999299999998,0.5533100573169162,0.4466899426830836,1,0.011732906033723933,1,buy
2019-01-19,148.805,0.5454011960956782,0.454598803904322,1,0.00823109209289269,0,sell
2019-01-20,148.1875035,0.4641002326531471,0.535899767346853,0,0.004149702630960086,0,sell
2019-01-21,147.87875524999998,0.5222778753971017,0.4777221246028985,1,0.0020834972093312027,0,sell
2019-01-22,147.570007,0.4763502163138464,0.5236497836861538,0,0.0020878472332149242,0,sell
2019-01-23,144.300003,0.5369263845571252,0.4630736154428753,1,0.022159001456169884,0,sell
2019-01-24,145.830002,0.503395089601189,0.4966049103988111,0,0.010602903452469115,1,sell
2019-01-25,149.009995,0.5110946722068596,0.4889053277931402,1,0.02180616441327345,1,buy
2019-01-26,148.239998,0.4644887198918749,0.5355112801081251,0,0.005167418467465819,0,sell
2019-01-27,147.85499950000002,0.491574812768249,0.508425187231751,0,0.0025971296896536294,0,sell
2019-01-28,147.470001,0.4624530340459624,0.5375469659540372,0,0.0026038923357476528,0,sell
2019-01-29,144.190002,0.5231114806962294,0.4768885193037706,1,0.022241804962081772,0,sell
2019-01-30,150.419998,0.4789913546333022,0.5210086453666978,0,0.04320685147088076,1,sell
2019-01-31,166.690002,0.5223176245551383,0.4776823754448615,1,0.10816383603462087,1,buy
2019-02-01,165.71000700000002,0.5019019982481548,0.4980980017518449,0,0.005879146848891237,0,sell
2019-02-02,167.4800035,0.5608443007740289,0.4391556992259709,1,0.010681289151113188,1,buy
2019-02-03,168.36500175,0.5485274051493131,0.451472594850687,1,0.005284202480924807,1,buy
2019-02-04,169.25,0.5248332155087388,0.475166784491261,1,0.005256426459188364,1,buy
2019-02-05,171.16000400000001,0.5730101176385262,0.4269898823614739,1,0.011285104874446174,1,buy
2019-02-06,170.490005,0.5247037898890717,0.4752962101109282,1,0.003914460062761031,0,sell
2019-02-07,166.380005,0.5257473002963886,0.4742526997036112,1,0.024106985039973373,0,sell
2019-02-08,167.330002,0.4806162297188868,0.5193837702811129,0,0.005709802689331547,1,sell
2019-02-09,166.5599975,0.4508978503890312,0.5491021496109685,0,0.004601712130500057,0,sell
2019-02-10,166.17499525,0.515454562004528,0.4845454379954719,1,0.002311492890122153,0,sell
2019-02-11,165.78999299999998,0.5499455852882594,0.4500544147117405,1,0.002316848268422103,0,sell
2019-02-12,165.03999299999998,0.5377883151501951,0.4622116848498043,1,0.004523795353559126,0,sell
2019-02-13,164.070007,0.5417007909660322,0.4582992090339677,1,0.005877278484857773,0,sell
2019-02-14,163.949997,0.6104846531773356,0.3895153468226641,1,0.0007314560546097113,0,sell
2019-02-15,162.5,0.5561873121648041,0.4438126878351957,1,0.008844141668389273,0,sell
2019-02-16,162.3949965,0.5811331433519393,0.4188668566480607,1,0.0006461753846154422,0,sell
2019-02-17,162.34249475,0.5561048359290525,0.4438951640709477,1,0.00032329659861167384,0,sell
2019-02-18,162.316243875,0.4902670226888492,0.5097329773111512,0,0.00016170057655214226,0,sell
2019-02-19,162.28999299999998,0.5110907219707245,0.4889092780292754,1,0.0001617267278574558,0,sell
2019-02-20,162.559998,0.4897899395696965,0.5102100604303034,0,0.0016637193397378855,1,sell
2019-02-21,160.03999299999998,0.5454726762143064,0.4545273237856934,1,0.0155019994525346,0,sell
2019-02-22,161.889999,0.557406073369399,0.4425939266306008,1,0.011559648093711225,1,buy
2019-02-23,163.254997,0.5671328558571407,0.4328671441428594,1,0.008431638819146662,1,buy
2019-02-24,163.937496,0.5057987400923246,0.4942012599076757,0,0.004180570350321387,1,sell
2019-02-25,164.619995,0.4712800003071921,0.5287199996928075,0,0.0041631659422197015,1,sell
2019-02-26,164.130005,0.4704313092993882,0.5295686907006115,0,0.0029764914037324415,0,sell
2019-02-27,162.809998,0.5452636449230162,0.4547363550769841,1,0.00804244781446271,0,sell
2019-02-28,161.449997,0.5366103531109871,0.463389646889013,1,0.008353301496877429,0,sell
2019-03-01,162.279999,0.5489762921009025,0.4510237078990971,1,0.005140922981869163,1,buy
2019-03-02,164.824997,0.5016967561882193,0.4983032438117806,0,0.015682758292351186,1,sell
2019-03-03,166.09749599999998,0.4847437514703501,0.5152562485296496,0,0.007720303492558122,1,sell
2019-03-04,167.369995,0.4981350745792793,0.5018649254207205,0,0.007661157035142845,1,sell
2019-03-05,171.259995,0.573977985454616,0.4260220145453838,1,0.023241919795719747,1,buy
2019-03-06,172.509995,0.5225425874572925,0.4774574125427072,1,0.007298844076224573,1,buy
2019-03-07,169.130005,0.5252992387214974,0.4747007612785028,1,0.019593009668802043,0,sell
2019-03-08,169.600006,0.4752596933157118,0.5247403066842883,0,0.002778933282713474,1,sell
2019-03-09,170.83500650000002,0.5201547860001061,0.4798452139998939,1,0.007281842313142444,1,buy
2019-03-10,171.45250675,0.4349683536035104,0.5650316463964895,0,0.0036146002078325658,1,sell
2019-03-11,172.070007,0.504552611467096,0.4954473885329041,0,0.0036015819290434853,1,sell
2019-03-12,171.919998,0.5910463026950381,0.4089536973049616,1,0.0008717905148920658,0,sell
2019-03-13,173.369995,0.5027759720728787,0.4972240279271211,0,0.008434138069266359,1,sell
2019-03-14,170.169998,0.4952103144083012,0.5047896855916987,0,0.01845761719033329,0,sell
2019-03-15,165.979996,0.4665069086795196,0.5334930913204805,0,0.024622448429481636,0,sell
2019-03-16,163.2249985,0.5145762601538552,0.4854237398461447,1,0.01659837068558552,0,sell
2019-03-17,161.84749975,0.4927821459591056,0.5072178540408943,0,0.008439263364428832,0,sell
2019-03-18,160.470001,0.542999370847031,0.4570006291529688,1,0.008511090700367775,0,sell
2019-03-19,161.570007,0.493618274355308,0.5063817256446916,0,0.006854901184926194,1,sell
2019-03-20,165.440002,0.5468835358826938,0.4531164641173063,1,0.023952434439146793,1,buy
2019-03-21,166.080002,0.4796655865207026,0.5203344134792975,0,0.0038684719068125665,1,sell
2019-03-22,164.33999599999999,0.4987511669773259,0.5012488330226742,0,0.010476914613717444,0,sell
2019-03-23,165.31499449999998,0.5085517592499444,0.4914482407500553,0,0.005932813214867051,1,sell
2019-03-24,165.80249375,0.5249083522776696,0.4750916477223305,1,0.0029489112676951592,1,buy
2019-03-25,166.28999299999998,0.5069045346448171,0.4930954653551831,0,0.0029402407585922383,1,sell
2019-03-26,167.679993,0.5315857326094321,0.4684142673905678,1,0.008358891445740904,1,buy
