date,pos,neg,class
2018-07-19,0.4757993802656683,0.5242006197343319,0
2018-07-20,0.5585658047237284,0.44143419527627115,1
2018-07-21,0.5782440733165995,0.4217559266834007,1
2018-07-22,0.5662953146301889,0.43370468536981166,1
2018-07-23,0.5441540945602615,0.45584590543973835,1
2018-07-24,0.5403345593110424,0.45966544068895765,1
2018-07-25,0.4742455243447447,0.525754475655255,0
2018-07-26,0.48419946158877347,0.5158005384112267,0
2018-07-27,0.4750529789701889,0.5249470210298108,0
2018-07-28,0.4954104836236303,0.5045895163763695,0
2018-07-29,0.5476276865891322,0.4523723134108675,1
2018-07-30,0.5691632626094318,0.4308367373905682,1
2018-07-31,0.4914463037407925,0.5085536962592068,0
2018-08-01,0.5034692571347308,0.49653074286526905,0
